march-2023-new-gay-streaming.json,2023,march,23,"['Magic Mike XXL', 'Next in Fashion: Season 2', 'Shadow', 'Carol', 'Mae Martin: SAP', 'Daisy Jones & The Six', 'Class of ’07: Season One', 'Swarm: Season One', 'Nope', 'The Power: Season One Premiere', 'Milk', 'Tangerine', 'Perry Mason: Season 2 Premiere', 'All the Beauty and the Bloodshed', 'Wreck: Season One', 'Good Trouble: Season 5 Premiere', 'Yellowjackets: Season 2 Premiere', 'Turning the Tables With Robin Roberts: Season 2', 'The Big Door Prize: Season One Premiere', 'The Challenge: World Championship: Season Premiere', 'Queen of the Universe: Season 2 Premiere', 'Power Book II: Ghost: Season 3 Premiere', 'Minx: Season One']"
august-2023-new-gay-streaming.json,2023,august,16,"['Heartstopper: Season Two', 'The Big Nailed It Baking Challenge', 'Ladies First: A Story of Women in Hip-Hop', 'Depp v Heard: Limited Series', 'Red, White & Royal Blue', 'Harlan Coben’s Shelter: Season One', 'Infiltrating D.E.B.S.', 'Breeders: Season 4 Premiere', 'Reservation Dogs: Season Three Premiere', 'Only Murders in the Building: Season Three Premiere', 'How to Blow Up a Pipeline', 'The Chi: Season 6 Premiere', 'Billions: Season 7 Premiere', 'Rap Sh!t: Season 2 Premiere', 'High School Musical: The Series', 'Invasion: Season Two Premiere']"
your-fall-2015-gay-tv-preview-304311.json,2015,fall,17,"['*Faking It Season 2B', '*Gotham Season Two', 'Supergirl', '*Jane The Virgin Season Two', 'Crazy Ex-Girlfriend', 'Grandfathered', 'Scream Queens', 'The Muppets', '*Fresh Off The Boat Season Two', '*The People’s Couch\xa0Season Four', 'Best Time Ever with Neil Patrick Harris', 'The Mindy Project', '*Arrow Season Four', '*Empire Season Two', 'Rosewood', 'Criminal Minds - Season 11: Criminology: Inner Beauty', 'American Horror Story Hotel After Show']"
fall-2017-tv-preview-some-lesbian-and-bisexual-characters-for-you-391985.json,2017,fall,23,"['Survivor’s Remorse, Season 4', 'Top Of The Lake: China Girl, Season 2', 'Curb Your Enthusiasm Season 8', 'The Walking Dead Season 8', 'Shameless Season 8', 'Supergirl Season 3', 'American Horror Story: Cult, Season 7 of AHS franchise', ""DC's Legends of Tomorrow"", 'Marvel’s Runaways', 'Broad City Season 4', 'Star Season 2', 'American Housewife Season 2', 'Riverdale Season 2', 'The Shannara Chronicles', 'Gotham Season 4', 'Grey’s Anatomy Season 14', 'Will', 'How To Get Away With Murder Season 4', 'Arrow Season 6', 'One Mississippi Season 2', 'Transparent Season 4', 'Once Upon a Time Season 7', 'Jane the Virgin Season 4']"
october-2023-whats-new-gay-and-streaming.json,2023,october,12,"['Everything Now: Season One', 'The Fall of the House of Usher: Limited Series', 'Big Mouth: Season Seven', 'Elite: Season Seven', 'Surviving Paradise: Season One', 'Desperately Seeking Soulmate: Escaping Twin Flames Universe', 'Goosebumps: Season One Premiere', 'Living for the Dead: Season One Premiere', 'Citizen Ruth', 'In the Heights', 'Loki: Season Two Premiere', 'Doom Patrol: Season 4B Premiere']"
april-2026-whats-new-gay-streaming.json,2026,april,8,"['The Valley: Season 3 Premiere', 'Long Time Listener', 'The Testaments: Season 1 Premiere', 'Outcome', 'Christy', 'Malcolm in the Middle: Life’s Still Unfair: Limited Series Premiere', 'The Audacity: Season One Premiere', 'From: Season 4 Premiere']"
june-2023-whats-gay-and-streaming-on-netflix-hulu-max-prime-video-paramount-apple-tv.json,2023,june,18,"['Valeria', 'Never Have I Ever', 'Human Resources', 'Glamorous', 'Drag Me to Dinner', 'Jagged Mind', 'Linoleum', 'With Love', 'The Lake', 'iCarly: Season 3 Premiere', 'Love Alllways: Season One Premiere', 'Queens of the Universe: Season 2 Premiere', 'Star Trek: Strange New Worlds: Season 2 Premiere', 'The Idol: Season One Premiere', 'Swiping America', 'The Stroll', 'And Just Like That….: Season 2 Premiere', 'The Crowded Room: Season One']"
february-2025-whats-new-gay-and-streaming-on-netflix-hulu-max-paramount-prime-video-and-peacock.json,2025,february,12,"['Celebrity Bear Hunt', 'Spencer', 'Valeria: Season 4', 'In the Summers', 'Milk', 'Clean Slate: Season One', 'Yellowjackets: Season Three Premiere', 'Tracker: Season 2B Premiere', 'I’ll Be Right There', 'Life Partners', '90 Day Fiancé\xa0: Season 11 Premiere', 'The White Lotus: Season Three Premiere']"
spring-2019-tv-preview-shows-thatll-please-your-eyeballs-with-lgbtq-women-characters-454850.json,2019,spring,26,"['Abby’s', 'Veep', 'Legends of Tomorrow', 'In The Dark', 'Chilling Adventures of Sabrina', 'Killing Eve', 'The Chi', 'You Me Her', 'The Bold Type', 'Game of Thrones', 'Arrow', 'Gentleman Jack', 'She', 'The 100', 'Easy', 'Fleabag', 'Vida', 'She’s Gotta Have It', 'The Handmaid’s Tale', 'Grown', 'Tales of the City', 'Pose', 'Claws', 'Younger', 'Queen Sugar', 'Good Trouble']"
august-2021-heres-whats-new-gay-and-streaming-on-netflix-hulu-hbo-max-showtime-and-amazon-prime-video.json,2021,august,26,"['Pray Away', 'Cooking With Paris', 'Control Z: Season 2', 'Alrawbi School For Girls: Season 1', 'Valeria: Season 2', 'Untold: Caitlyn Jenner', 'All About E', 'Black Swan', 'The Girl King', 'Liz in September', 'Under the Tuscan Sun', 'Princess Cyd', 'The Party', 'Reservation Dogs: Season One', 'Together Together', 'AWOL', 'Brooklyn Nine', 'Disobedience', 'Modern Love Season 2', 'Basic Instinct', 'Best in Show', 'Vice', 'The Hype: Season One', 'Diary of a Future President: Season 2', 'The L Word: Generation Q: Season Two', 'Work in Progress: Season Two']"
